species,genus,lon,lat
Athrotaxis_cupressoides,Athrotaxis,146.3511,-41.182
Athrotaxis_cupressoides,Athrotaxis,145.9667,-41.4667
Athrotaxis_cupressoides,Athrotaxis,145.65,-41.6667
Athrotaxis_cupressoides,Athrotaxis,146.45,-41.6667
Athrotaxis_cupressoides,Athrotaxis,146.6238,-41.6785
Athrotaxis_cupressoides,Athrotaxis,146.3796,-41.6819
Athrotaxis_cupressoides,Athrotaxis,145.9833,-41.6833
Athrotaxis_cupressoides,Athrotaxis,146.501,-41.732
Athrotaxis_cupressoides,Athrotaxis,146.7082,-41.7461
Athrotaxis_cupressoides,Athrotaxis,146.8333,-41.75
Athrotaxis_cupressoides,Athrotaxis,146.1341,-41.8208
Athrotaxis_cupressoides,Athrotaxis,145.9844,-41.832
Athrotaxis_cupressoides,Athrotaxis,146.301,-41.832
Athrotaxis_cupressoides,Athrotaxis,146.6677,-41.832
Athrotaxis_cupressoides,Athrotaxis,145.5177,-41.8486
Athrotaxis_cupressoides,Athrotaxis,146.5314,-41.8554
Athrotaxis_cupressoides,Athrotaxis,146.3833,-41.8667
Athrotaxis_cupressoides,Athrotaxis,146.751,-41.9153
Athrotaxis_cupressoides,Athrotaxis,146.05,-41.9333
Athrotaxis_cupressoides,Athrotaxis,145.595,-41.9439
Athrotaxis_cupressoides,Athrotaxis,146.3459,-41.9519
Athrotaxis_cupressoides,Athrotaxis,145.8471,-41.9759
Athrotaxis_cupressoides,Athrotaxis,146.0677,-41.982
Athrotaxis_cupressoides,Athrotaxis,145.4677,-41.9986
Athrotaxis_cupressoides,Athrotaxis,146.2881,-42.0325
Athrotaxis_cupressoides,Athrotaxis,146.4844,-42.0486
Athrotaxis_cupressoides,Athrotaxis,146.1667,-42.0667
Athrotaxis_cupressoides,Athrotaxis,145.5344,-42.1153
Athrotaxis_cupressoides,Athrotaxis,146.1167,-42.1167
Athrotaxis_cupressoides,Athrotaxis,146.0162,-42.1288
Athrotaxis_cupressoides,Athrotaxis,146.751,-42.1653
Athrotaxis_cupressoides,Athrotaxis,146.1344,-42.1986
Athrotaxis_cupressoides,Athrotaxis,146.3045,-42.2075
Athrotaxis_cupressoides,Athrotaxis,145.8454,-42.2713
Athrotaxis_cupressoides,Athrotaxis,146.3833,-42.4466
Athrotaxis_cupressoides,Athrotaxis,146.0168,-42.455
Athrotaxis_cupressoides,Athrotaxis,145.63,-42.68
Athrotaxis_cupressoides,Athrotaxis,146.7178,-42.6881
Athrotaxis_cupressoides,Athrotaxis,146.5511,-42.8986
Athrotaxis_cupressoides,Athrotaxis,146.6677,-42.932
Athrotaxis_cupressoides,Athrotaxis,146.7511,-43.2153
Athrotaxis_cupressoides,Athrotaxis,146.6253,-43.2751
Athrotaxis_cupressoides,Athrotaxis,146.688,-43.5248
Athrotaxis_laxifolia,Athrotaxis,146.5833,-41.6667
Athrotaxis_laxifolia,Athrotaxis,145.95,-41.6833
Athrotaxis_laxifolia,Athrotaxis,146.1333,-41.8333
Athrotaxis_laxifolia,Athrotaxis,145.5333,-41.85
Athrotaxis_laxifolia,Athrotaxis,146.7667,-43.2167
Athrotaxis_selaginoides,Athrotaxis,146.15,-41.3333
Athrotaxis_selaginoides,Athrotaxis,146.0667,-41.35
Athrotaxis_selaginoides,Athrotaxis,145.9667,-41.4667
Athrotaxis_selaginoides,Athrotaxis,146.05,-41.4833
Athrotaxis_selaginoides,Athrotaxis,145.9167,-41.65
Athrotaxis_selaginoides,Athrotaxis,145.97,-41.67
Athrotaxis_selaginoides,Athrotaxis,145.7344,-41.682
Athrotaxis_selaginoides,Athrotaxis,146.4987,-41.6888
Athrotaxis_selaginoides,Athrotaxis,146.674,-41.7291
Athrotaxis_selaginoides,Athrotaxis,146.6167,-41.7333
Athrotaxis_selaginoides,Athrotaxis,146.8351,-41.742
Athrotaxis_selaginoides,Athrotaxis,146.1677,-41.7486
Athrotaxis_selaginoides,Athrotaxis,145.5725,-41.844
Athrotaxis_selaginoides,Athrotaxis,146.0915,-41.8529
Athrotaxis_selaginoides,Athrotaxis,145.4844,-41.932
Athrotaxis_selaginoides,Athrotaxis,145.6049,-41.9411
Athrotaxis_selaginoides,Athrotaxis,146.2584,-42.0009
Athrotaxis_selaginoides,Athrotaxis,146.1177,-42.0486
Athrotaxis_selaginoides,Athrotaxis,145.6333,-42.05
Athrotaxis_selaginoides,Athrotaxis,145.5333,-42.15
Athrotaxis_selaginoides,Athrotaxis,145.3667,-42.1833
Athrotaxis_selaginoides,Athrotaxis,145.4167,-42.1833
Athrotaxis_selaginoides,Athrotaxis,145.5344,-42.282
Athrotaxis_selaginoides,Athrotaxis,146.0177,-42.282
Athrotaxis_selaginoides,Athrotaxis,145.8628,-42.2847
Athrotaxis_selaginoides,Athrotaxis,146.6311,-42.4139
Athrotaxis_selaginoides,Athrotaxis,146.3904,-42.47
Athrotaxis_selaginoides,Athrotaxis,147.5833,-42.55
Athrotaxis_selaginoides,Athrotaxis,146.2848,-42.5514
Athrotaxis_selaginoides,Athrotaxis,146.53,-42.67
Athrotaxis_selaginoides,Athrotaxis,146.7167,-42.6833
Athrotaxis_selaginoides,Athrotaxis,146.4344,-42.9153
Athrotaxis_selaginoides,Athrotaxis,146.68,-42.93
Athrotaxis_selaginoides,Athrotaxis,147.1667,-42.9667
Athrotaxis_selaginoides,Athrotaxis,145.9667,-43.0167
Athrotaxis_selaginoides,Athrotaxis,146.6076,-43.0197
Athrotaxis_selaginoides,Athrotaxis,146.77,-43.22
Athrotaxis_selaginoides,Athrotaxis,146.45,-43.2667
Athrotaxis_selaginoides,Athrotaxis,146.4064,-43.4602
Athrotaxis_selaginoides,Athrotaxis,146.5844,-43.4653
Athrotaxis_selaginoides,Athrotaxis,146.7277,-43.4903
Austrocedrus_chilensis,Austrocedrus,-70.8172,-32.6531
Austrocedrus_chilensis,Austrocedrus,-70.7258,-32.7497
Austrocedrus_chilensis,Austrocedrus,-70.2231,-33.78
Austrocedrus_chilensis,Austrocedrus,-70.8167,-33.7833
Austrocedrus_chilensis,Austrocedrus,-70.4414,-33.7956
Austrocedrus_chilensis,Austrocedrus,-70.7167,-33.9833
Austrocedrus_chilensis,Austrocedrus,-70.4081,-34.3275
Austrocedrus_chilensis,Austrocedrus,-71.2833,-34.5333
Austrocedrus_chilensis,Austrocedrus,-70.4333,-34.5333
Austrocedrus_chilensis,Austrocedrus,-70.7833,-34.7667
Austrocedrus_chilensis,Austrocedrus,-70.8333,-34.8333
Austrocedrus_chilensis,Austrocedrus,-70.4167,-34.9333
Austrocedrus_chilensis,Austrocedrus,-71.3833,-34.9833
Austrocedrus_chilensis,Austrocedrus,-70.7667,-34.9833
Austrocedrus_chilensis,Austrocedrus,-71.07,-35.23
Austrocedrus_chilensis,Austrocedrus,-70.5833,-35.25
Austrocedrus_chilensis,Austrocedrus,-70.9167,-35.3333
Austrocedrus_chilensis,Austrocedrus,-70.6333,-35.4167
Austrocedrus_chilensis,Austrocedrus,-71.8833,-35.4667
Austrocedrus_chilensis,Austrocedrus,-71.23,-35.56
Austrocedrus_chilensis,Austrocedrus,-71.0517,-35.6178
Austrocedrus_chilensis,Austrocedrus,-71.3333,-35.7833
Austrocedrus_chilensis,Austrocedrus,-70.9886,-35.8819
Austrocedrus_chilensis,Austrocedrus,-70.6403,-35.9141
Austrocedrus_chilensis,Austrocedrus,-71.1833,-36.1167
Austrocedrus_chilensis,Austrocedrus,-71.2333,-36.2333
Austrocedrus_chilensis,Austrocedrus,-71.55,-36.55
Austrocedrus_chilensis,Austrocedrus,-71.3984,-36.6393
Austrocedrus_chilensis,Austrocedrus,-71.2801,-36.6704
Austrocedrus_chilensis,Austrocedrus,-71.6291,-36.8862
Austrocedrus_chilensis,Austrocedrus,-71.5073,-36.9753
Austrocedrus_chilensis,Austrocedrus,-73.1833,-37.25
Austrocedrus_chilensis,Austrocedrus,-71.4667,-37.25
Austrocedrus_chilensis,Austrocedrus,-71.5894,-37.3132
Austrocedrus_chilensis,Austrocedrus,-71.5167,-37.3333
Austrocedrus_chilensis,Austrocedrus,-71.3333,-37.35
Austrocedrus_chilensis,Austrocedrus,-71.4167,-37.3833
Austrocedrus_chilensis,Austrocedrus,-71.4564,-37.4108
Austrocedrus_chilensis,Austrocedrus,-72.8333,-37.55
Austrocedrus_chilensis,Austrocedrus,-71.2833,-37.6833
Austrocedrus_chilensis,Austrocedrus,-73.0333,-37.7167
